rwanda,year,quarter,employed,employment_to_population_ratio,labour_force,lf_participation_rate,lu1_unemployment_rate,lu2_unemployment_underemployment_rate,lu3_unemployment_potential_lf_rate,lu4_labour_underutilization_rate,median_monthly_earnings,youth_neet_rate,out_of_labour_force,out_of_lf_inactivity_rate,potential_labour_force,time_related_underemployed,time_underemployment_rate,unemployed,working_age_population
All,2019,Q1,3186050.5463436884,44.86778708131023,3727994.585238328,52.499753176454085,14.537146621418335,39.2244636608552,39.209572266714886,56.7698631192398,20800.0,34.38732129381896,3372980.866414504,47.50024682354591,1513045.2711060334,920341.8424708182,28.886605189833144,541944.0388946296,7100975.451652946
All,2019,Q2,3258934.879428355,45.70522594135699,3832772.0976707656,53.753057728020025,14.97185858222893,37.48415966643934,38.8623051028604,55.049301221669374,20800.0,32.77785949233816,3297561.058563504,46.24694227197997,1497711.6323935296,862845.1944992543,26.47629444656459,573837.2182423996,7130333.156234328
All,2019,Q3,3152832.11506403,43.9019433830136,3753854.412572824,52.270941767383306,16.010804667751184,38.73118184051944,40.99441119493972,56.95633615027369,24000.0,35.70038875036537,3427677.5928734667,47.72905823261669,1589422.6886526172,852889.8810531483,27.05154762215522,601022.2975087918,7181532.00544616
All,2019,Q4,3405877.038319993,46.52202607830223,4025992.445639997,54.99239210335646,15.402796097930135,36.92674570117502,38.88824312726194,54.43682291977191,21666.666015625,34.44182716309909,3295006.499219979,45.00760789664354,1547201.997799999,866552.5850299998,25.44286171462726,620115.407320001,7320998.944860036
All,2020,Q1,3568934.1611348228,48.34788883038829,4105648.399417656,55.618687100854125,13.072581625815069,41.198488410507146,36.64752713767711,57.14561369806883,26000.0,34.17071893109924,3276130.303795589,44.38131289914588,1527808.3543397,1154750.8417274212,32.35562186331385,536714.238282848,7381778.703213349
All,2020,Q2,3199104.165283203,42.987166842506326,4104302.595298767,55.150545690537406,22.05486581453362,0.0,22.05486581453362,,,,3337695.564300537,44.849454309462594,,,0.0,905198.430015564,7441998.159599304
All,2020,Q3,3667611.013645172,48.88381621701205,4364821.511230469,58.17659827643153,15.973402252335145,39.26931517980746,39.52751794248942,56.29318160473199,26000.0,31.81104548047341,3137888.5827674866,41.82340172356847,1700104.036487579,1016825.0186958312,27.72445100946589,697210.4975852966,7502710.093997955
All,2020,Q4,3407788.9029749767,45.05322301638299,4277112.875514948,56.546260855123776,20.325018250431985,46.13738744396341,40.49573329213548,59.77337938788859,26000.0,34.737038126898625,3286805.2524639857,43.45373914487623,1449852.7548750064,1104024.166252002,32.39708202841399,869323.9725400016,7563918.127978938
All,2021,Q1,3204924.141860962,42.03036905863255,3860572.3502082825,50.62874298253698,16.98318665914777,43.71207216900615,39.51917077731489,58.99215576406736,25000.0,34.378188703931144,3764685.799179077,49.371257017463016,1438502.055767059,1031887.9635124208,32.196954368887106,655648.2083473206,7625258.14938736
All,2021,Q2,3133606.658269882,40.76327185763064,4093556.441347122,53.25070191653147,23.450263770183568,47.44088508274801,41.630053535156776,59.92314441490404,26000.0,37.19724272116464,3593772.1646938324,46.74929808346853,1274971.1110248566,982069.6240596772,31.339913752988213,959949.78307724,7687328.606040955
